caseid,market,region,timezone,state,division,qs1,qs2,qs3,q1,q2,q3,q4,q5,q6,q6a_1,q6b_a,q6b_b,q6b_c,q6b_d,q6b_e,q6b_f,q6b_g,q6b_h,q6b_i,q6b_j,q6c_a,q6c_b,q6c_c,q6c_d,q7,q801,q901,q1001,q11,q12,q13,q14a,q14b,q14c,q14d,q15a,q15b,q16,q17,q18,q19,q20,q21,q22,q23a,q23b,q23c,q24a,q24b,q24c,q24d,q25a,q25b,q25c,q25d,q26,q27,q28,q29,q3001,q31,q32a,q32b,q32c,q32d,q32e,q33,q34,q3501,q36,q3701,q38,q39,q40,q41,q4201,q43,q44a,q44b,q44c,q44d,q45,q46,q47,q48,q49,q50,q51,q52,q53,q54,bmi,q55,q56a,q56b,q56c,q56d,q56e,q56f,q56g,q56h,q5701,q58,q59,q60a01,d101,d2,d3
198,ne_1,Northeast,E,VT,1,1,Male,Married,6:00 AM – 6:14 AM,11:00 PM – 11:14 PM,7,7:00 AM – 7:14 AM,11:00 PM – 11:14 PM,8,Never, Never,Every night or almost every night,Every night or almost every night,Every night or almost every night, Never,Every night or almost every night, Never,A few nights a week,Rarely,A few nights a week,No,No,Yes,Yes,Less than 5 minutes,With your significant other,With your significant other,Talk to your doctor,No,More than 5 times,Less than 15 minutes, Never, Never, Never, Never, Never,Don't Know, ,No, , , ,Never,No impact,Yes,Yes,Yes,No,No,No,No,No,No,No,No,None,No problems, Never,No,Noise,Not at all difficult, Never, Never, Never, Never, Never,Never?,Never,Wake up on own,7,You are never late or tardy?,None,None,None,No,Or does it have no impact on your sleep?,Not at all concerned,Mostly agree,Don't Know,Don't Know,Don't Know,Evening person,02,Less than one,Never,No, ,Yes,Less often or never?,72,200,27.1990740740741,Some days,No,No,No,No,No,No,No,No,Retired, , , ,1,067,Rural
199,south_1,South,C,TX,7,1,Female,Married,12:01 AM - 4:59 AM,10:15 PM – 10:29 PM,6,7:00 AM – 7:14 AM,11:00 PM – 11:14 PM,9,A few nights a week,A few nights a month,Every night or almost every night,Every night or almost every night, Never,Rarely, Never, Never,Rarely, Never, Never,No,No,Yes,No,15 up to 30 minutes,Alone,With your significant other,Talk to your doctor,No,None, ,Rarely,A few nights a month, Never,A few nights a week, Never,A few nights a month, ,Yes,Slightly louder than breathing,3 to 4 nights a week,Yes,Never, ,No,No,No,Yes,Yes,Yes,Yes,Don't Know,Don't Know,Don't Know,Yes,Don't Know,No problems,A few nights a week,Yes,Nothing awakens me at night,Not very difficult, Never,Rarely, Never, Never,Don't Know,1 to 2 nights a week,1 to 2 nights a week,Alarm clock,7,You are never late or tardy?,None,None,None,No,Or does it have no impact on your sleep?,Very concerned,Completely agree,Completely agree,Mostly agree,Mostly agree,Morning person,01,00,Less than once a month,No, ,No, ,66,150,24.2768595041322,Every day,No,Yes,No,No,No,No,No,No,Working full-time,Regular day shifts,040,4,1,057,Rural
200,mid_2,Mid West,C,IA,4,1,Male,Widowed,5:30 AM – 5:44 AM,10:30 PM – 10:44 PM,4,7:00 AM – 7:14 AM,10:30 PM – 10:44 PM,5,Rarely,A few nights a week,A few nights a week,Every night or almost every night,Every night or almost every night,Every night or almost every night, Never,Rarely,A few nights a month,A few nights a month, Never,No,No,Yes,Yes,15 up to 30 minutes,Alone,Alone,Talk to your doctor,Yes,None, ,A few nights a month,A few nights a week,A few nights a month,Every night or almost every night, Never,Every night or almost every night, ,Yes,Don't Know,Every night or almost every night,Yes,Never, , , , , , , , , , , , , , ,Rarely,No,Pain/Discomfort,Somewhat difficult,Every night or almost every night, Never,A few nights a month, Never, Never,Every night or almost every night,Every night or almost every night,Alarm clock,8,You are never late or tardy?,None,None,None,No intimate or sexual relationship,Or does it have no impact on your sleep?,Very concerned,Mostly agree,Completely agree,Mostly disagree,Completely agree,Morning person,05,02,1 to 2 times a month,No, ,Yes,1 to 2 days a month,71,190,26.5721087085896,Not at all,No,Yes,No,No,No,No,No,No,Working full-time,Regular day shifts,055,1,1,061,Suburban
201,south_2,South,C,TX,7,1,Male,Widowed,6:00 AM – 6:14 AM,9:30 PM – 9:44 PM,8,6:00 AM – 6:14 AM,9:30 PM – 9:44 PM,8,Never, Never, Never, Never, Never,Every night or almost every night, Never, Never, Never, Never,Every night or almost every night,No,No,Yes,No,Less than 5 minutes,Alone,Alone,Talk to your doctor,No,None, , Never, Never, Never, Never, Never, Never, ,No, , , ,Never,No impact, , , , , , , , , , , , , ,Every night or almost every night,No,Noise,Not at all difficult, Never, Never, Never, Never, Never,Never?,Never,Alarm clock,12,You are never late or tardy?,None,None,None,No,Or does it have no impact on your sleep?,Very concerned,Mostly disagree,Completely disagree,Completely disagree,Completely disagree,Morning person,00,00,Never,No, ,No, ,72,180,24.4791666666667,Not at all,No,Yes,No,No,No,No,No,Yes,Retired, , , ,1,083,Suburban
202,mid_2,Mid West,C,IA,4,1,Female,Single,6:30 AM – 6:44 AM,10:30 PM – 10:44 PM,7,10:00 AM – 10:59 AM,2:00 AM – 5:00 AM,8,A few nights a month,A few nights a week,Every night or almost every night,Rarely, Never,Rarely,Rarely, Never,A few nights a week,Rarely,Rarely,Yes,No,Yes,Yes,45 minutes up to 1 hour,Alone,Alone,Assume it will go away in time,Yes,None, ,Every night or almost every night,A few nights a week,Rarely,Every night or almost every night,A few nights a week,A few nights a month,Worse at night,No, , , ,Never, , , , , , , , , , , , , , ,Rarely,Yes,20,Somewhat difficult, Never, Never, Never, Never, Never,Every night or almost every night,3 to 4 nights a week,Alarm clock,6,You are never late or tardy?,None,None,1 to 2 days,No,Or does it have no impact on your sleep?,Not really concerned,Completely disagree,Completely agree,Mostly agree,Completely agree,Evening person,03,00,Less than once a month,No, ,No, ,65,195,32.5384615384615,Every day,No,No,No,No,No,No,No,No,Working full-time,Regular day shifts,040,3,1,027,Rural
203,ne_3,Northeast,E,NJ,2,1,Female,Married,Refused,Refused,10,Refused,9:00 PM – 9:14 PM,12,Rarely, Never,Every night or almost every night, Never,Every night or almost every night,Rarely,Refused, Never,Every night or almost every night, Never,Every night or almost every night,Yes,No,Yes,Yes,15 up to 30 minutes,With your significant other,With your significant other,Talk to your doctor,Yes,More than 5 times,1 hour or more?,Rarely,A few nights a month, Never,Every night or almost every night,A few nights a week,A few nights a week,Don't Know,Yes,As loud as talking,Every night or almost every night,Yes,1 to 2 nights a month?,Severe impact,No,No,No,No,Yes,No,Yes,No,No,No,No,None,No problems,A few nights a month,Yes,Noise,Very difficult, Never, Never, Never, Never, Never,Every night or almost every night,Every night or almost every night,12,10,Do not work, , ,3 to 5 days,No,No info,Very concerned,Mostly disagree,Mostly agree,Completely disagree,Completely agree,Evening person,00,00,3 or more times a week,No, ,No, ,65,140,23.3609467455621,Not at all,No,Yes,No,No,Yes,Yes,No,Yes,Disabled, , , ,1,047,Urban
204,mid_2,Mid West,C,SD,4,1,Female,Married,12:01 AM - 4:59 AM,9:00 PM – 9:14 PM,6,7:30 AM – 7:44 AM,11:00 PM – 11:14 PM,8,A few nights a week, Never,Every night or almost every night, Never, Never, Never,Rarely,Rarely,Rarely,Rarely,Rarely,No,No,Yes,Yes,1 hour or more?,With your significant other,With your significant other,Talk to your doctor,No,None, ,Rarely, Never,Rarely,Rarely,A few nights a month,A few nights a week,Worse at night,Yes,Slightly louder than breathing,1 to 2 nights a week,No,Never, ,No,No,No,No,Yes,No,Not sure,Yes,Yes,Not sure,Yes,030,Moderate problems,A few nights a week,No,14,Somewhat difficult,Rarely, Never,Rarely,Rarely, Never,1 to 2 nights a week,1 to 2 nights a week,Alarm clock,8,You slept too late,None,1 to 2 days,None,No,Or does it have no impact on your sleep?, Somewhat concerned,Completely agree,Completely agree,Mostly disagree,Completely agree,Evening person,08,00,1 to 2 times a month,No, ,Yes,Less often or never?,66,185,29.9414600550964,Every day,No,Yes,No,No,No,No,No,No,Working full-time,Regular day shifts,040,6,1,053,Rural
205,west_1,West,P,WA,9,1,Male,Divorced,8:00 AM – 8:14 AM,1:00 AM – 1:59 AM,6,8:00 AM – 8:14 AM,1:00 AM – 1:59 AM,6,A few nights a month,Don't Know,A few nights a month, Never,Rarely,Every night or almost every night, Never, Never, Never, Never,A few nights a week,Yes,No,Yes,Yes,5 up to 10 minutes,Alone,With your significant other,Assume it will go away in time,No,2 or 3 times,Less than 15 minutes,Every night or almost every night,A few nights a month,A few nights a month, Never, Never, Never, ,Yes,As loud as talking,1 to 2 nights a week,Yes,Every night or almost every night,No impact, , , , , , , , , , , , , , Never,Yes,Noise,Somewhat difficult, Never, Never, Never, Never, Never,Never?,1 to 2 nights a week,Don't Know,5,Traffic or transportation problems,None,None,None,No,Or does it have no impact on your sleep?, Somewhat concerned,Mostly agree,Mostly agree,Don't Know,Don't Know,Don't Know,10,00,Less than once a month,No, ,No, ,68,140,21.3451557093426,Every day,No,No,No,No,Yes,Yes,No,Yes,Disabled, , , ,1,048,Rural
206,south_3,South,E,NC,5,1,Male,Married,6:00 AM – 6:14 AM,9:30 PM – 9:44 PM,9,6:00 AM – 6:14 AM,9:30 PM – 9:44 PM,8,Rarely, Never,Every night or almost every night, Never,Rarely,Rarely,Rarely,Rarely,Every night or almost every night, Never,Rarely,Yes,Yes,Yes,Yes,10 up to 15 minutes,With your significant other,With your significant other,Talk to your doctor,Yes,None, ,Rarely,Every night or almost every night,A few nights a week,Rarely,Every night or almost every night,Every night or almost every night,Worse at night,Yes,Very loud and can be heard in adjacent rooms?,Every night or almost every night,Yes,Every night or almost every night, ,No,No,No,No,No,Yes,Yes,Yes,No,Yes,No,None,No problems,Every night or almost every night,Yes,The need to go to the bathroom,Not very difficult, Never, Never, Never, Never, Never,Every night or almost every night,Every night or almost every night,Alarm clock,6,You are never late or tardy?,None,None,None,No,Or does it have no impact on your sleep?,Very concerned,Mostly agree,Completely agree,Completely agree,Completely agree,Morning person,02,00,1 to 2 times a week,No, ,Yes,3 to 4 days a week,71,298,41.6762547113668,Not at all,No,Yes,Yes,No,No,No,No,No,Working part-time,Regular evening shifts,025,6,1,056,Rural
207,mid_3,Mid West,C,MO,4,1,Male,Married,6:15 AM – 6:29 AM,12:00 AM (Midnight),6,8:00 AM – 8:14 AM,1:00 AM – 1:59 AM,8,Every night or almost every night, Never,A few nights a week, Never,Every night or almost every night, Never,A few nights a week,A few nights a week, Never, Never, Never,Yes,Yes,Yes,Yes,Less than 5 minutes,With your significant other,With your significant other,Self-treat it,No,None, , Never, Never, Never,A few nights a week, Never, Never, ,Yes,As loud as talking,3 to 4 nights a week,Yes,Never,No impact,No,No,No,No,No,Yes,Yes,No,No,No,No,None,No problems,Every night or almost every night,No,Nothing awakens me at night,Not at all difficult, Never, Never, Never, Never, Never,1 to 2 nights a month?,1 to 2 nights a month?,Alarm clock,5,Traffic or transportation problems,None,None,None,No,Or does it have no impact on your sleep?, Somewhat concerned,Completely agree,Mostly agree,Don't Know,Mostly agree,Evening person,20,00,Less than once a month,No, ,No, ,75,210,26.32,Every day,No,No,No,No,No,No,No,No,Working full-time,Regular day shifts,045,1,1,039,Suburban
208,south_2,South,E,VA,5,1,Female,Married,8:00 AM – 8:14 AM,12:00 AM (Midnight),8,8:00 AM – 8:14 AM,11:00 PM – 11:14 PM,10,A few nights a week, Never,A few nights a week, Never, Never,A few nights a week,Rarely, Never,A few nights a month, Never,A few nights a week,No,No,Yes,No,10 up to 15 minutes,With your significant other,With your significant other,Self-treat it,No,2 or 3 times,30 to less than 45 minutes,A few nights a month,A few nights a month,A few nights a month,A few nights a month, Never, Never, ,No, , , ,Never,No impact,No,No,No,No,No,Yes,No,Yes,Yes,No,No,120,Little problems,A few nights a week,No,Someone else,Somewhat difficult, Never, Never, Never, Never, Never,1 to 2 nights a week,1 to 2 nights a month?,Bed partner,Don't Know,Traffic or transportation problems,None,3 to 5 days,None,Yes,Causes you to have disturbed or restless sleep, Somewhat concerned,Mostly disagree,Mostly agree,Mostly agree,Mostly agree,Evening person,06,00,1 to 2 times a week,Yes,1 to 2 times a month,No, ,64,150,25.81787109375,Not at all,No,No,No,Yes,No,No,No,No,Working full-time,Regular night shifts,040,6,1,055,Rural
209,mid_3,Mid West,C,IL,3,1,Female,Married,7:30 AM – 7:44 AM,10:00 PM – 10:14 PM,8,7:30 AM – 7:44 AM,10:00 PM – 10:14 PM,8,Rarely, Never,A few nights a week,Rarely, Never,Every night or almost every night,A few nights a month, Never,Every night or almost every night, Never,Rarely,No,No,No,No,45 minutes up to 1 hour,With your significant other,Alone,Talk to your doctor,Yes,1 time, ,Every night or almost every night,Every night or almost every night,A few nights a month,A few nights a week,A few nights a week,Every night or almost every night,Worse at night,Yes,Slightly louder than breathing,1 to 2 nights a week,No,Never,No impact,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,180,Moderate problems,A few nights a month,No,The need to go to the bathroom,Not very difficult, Never, Never, Never, Never, Never,3 to 4 nights a week,3 to 4 nights a week,Wake up on own,9,You are never late or tardy?,None,None,None,Yes,Makes it difficult for you to fall asleep,Very concerned,Mostly disagree,Completely agree,Completely agree,Completely agree,Morning person,00,00,Never,No, ,No, ,63,137,24.3348450491308,Not at all,No,Yes,No,No,Yes,No,No,Yes,Retired, , , ,1,060,Urban
210,mid_3,Mid West,C,WI,3,1,Female,Widowed,Don’t know,Don't Know,3,Don’t know,12:01 AM – 12:59 AM,3,A few nights a week,Every night or almost every night,Every night or almost every night,A few nights a month, Never,A few nights a week, Never,Rarely,Every night or almost every night, Never, Never,Yes,No,Yes,Yes,15 up to 30 minutes,Alone,With your significant other,Self-treat it,Yes,2 or 3 times,1 hour or more?,Every night or almost every night,Every night or almost every night,Every night or almost every night,Every night or almost every night, Never, Never, ,Yes,Very loud and can be heard in adjacent rooms?,Every night or almost every night,Yes,Every night or almost every night, , , , , , , , , , , , , , ,A few nights a month,Don't Know,Nightmares,Very difficult, Never, Never, Never, Never, Never,Every night or almost every night,3 to 4 nights a week,Other,6,You needed to take care of others,None,1 to 2 days,None,No,Causes you to have disturbed or restless sleep,Very concerned,Mostly agree,Completely agree,Mostly agree,Mostly agree,Evening person,02,00,Don’t drive/Don’t have a license,No, ,Don't drive/Don't have a license, ,68,245,37.3540224913495,Not at all,No,No,No,No,Yes,Yes,No,Don't Know,A homemaker, , , ,2,051,Suburban
211,mid_2,Mid West,C,SD,4,1,Male,Married,5:30 AM – 5:44 AM,10:30 PM – 10:44 PM,7,8:00 AM – 8:14 AM,11:00 PM – 11:14 PM,9,A few nights a month,Rarely,Every night or almost every night,Rarely,A few nights a week,A few nights a week,A few nights a month,Rarely,Rarely, Never,Rarely,Yes,No,Yes,Yes,10 up to 15 minutes,With your significant other,With your significant other,Use an over-the-counter sleep aid,No,None, ,Rarely,Rarely,Rarely,Rarely, Never,Rarely, ,No, , , ,Never,No impact,No,No,No,No,No,No,No,No,No,No,No,None,No problems,Every night or almost every night,No,14,Not at all difficult, Never, Never, Never, Never, Never,1 to 2 nights a month?,1 to 2 nights a month?,Alarm clock,6,You are never late or tardy?,None,None,None,No,Or does it have no impact on your sleep?, Somewhat concerned,Completely disagree,Completely agree,Completely disagree,Mostly agree,Evening person,04,00,Less than once a month,No, ,No, ,65,145,24.1952662721893,Not at all,No,No,No,No,No,No,No,No,Working full-time,Regular day shifts,045,3,1,039,Suburban
212,mid_1,Mid West,E*,IN,3,1,Female,Married,12:01 AM - 4:59 AM,9:30 PM – 9:44 PM,6,6:00 AM – 6:14 AM,10:00 PM – 10:14 PM,7,A few nights a month, Never,Every night or almost every night,A few nights a month, Never,A few nights a week,A few nights a week, Never,A few nights a month, Never, Never,Yes,No,No,Yes,5 up to 10 minutes,With your significant other,With your significant other,Assume it will go away in time,No,4 or 5 times,15 to less than 30 minutes,Rarely,Rarely,Rarely,A few nights a month,A few nights a week,A few nights a week,Worse at night,No, , , ,Never,No impact,No,No,No,Yes,No,Yes,No,Yes,No,No,No,020,No problems,Every night or almost every night,No,Noise,Not at all difficult, Never, Never, Never, Never, Never,Never?,1 to 2 nights a month?,Alarm clock,6,None of the above,None,None,None,No,Or does it have no impact on your sleep?, Somewhat concerned,Mostly agree,Mostly agree,Mostly disagree,Mostly agree,Morning person,03,00,Less than once a month,No, ,Yes,Less often or never?,65,210,35.0414201183432,Not at all,No,No,No,No,No,No,No,No,Working full-time,Regular day shifts,045,1,1,050,Rural
213,west_1,West,P,CA,9,1,Female,Divorced,6:00 AM – 6:14 AM,10:00 PM – 10:14 PM,Don't Know,6:00 AM – 6:14 AM,10:00 PM – 10:14 PM,Don't Know,Never, Never,Every night or almost every night, Never, Never,Every night or almost every night, Never, Never, Never, Never, Never,Yes,No,No,Yes,1 hour or more?,Alone,Alone,Self-treat it,No,None, ,A few nights a week,A few nights a week,A few nights a week,A few nights a week,A few nights a week,A few nights a week,Worse at night,Yes,Slightly louder than breathing,Don't Know,No,Don't Know, , , , , , , , , , , , , , ,A few nights a week,Yes,Noise,Somewhat difficult, Never, Never, Never,Don't Know, Never,1 to 2 nights a week,99,Wake up on own,Don't Know,Don’t know,None,None,None,No,Do not watch TV/these programs before bed,Very concerned,Completely agree,Mostly agree,Don't Know,Mostly agree,Morning person,00,00,Never,No, ,No, ,63,120,21.3151927437642,Not at all,Yes,No,Yes,No,No,No,No,Yes,Retired, , , ,1,075,Don't Know
214,mid_1,Mid West,C,WI,3,1,Female,Married,6:00 AM – 6:14 AM,10:00 PM – 10:14 PM,8,7:00 AM – 7:14 AM,12:00 AM (Midnight),7,Rarely, Never,Every night or almost every night, Never, Never,A few nights a month, Never, Never, Never, Never, Never,Yes,No,Yes,Yes,15 up to 30 minutes,Alone,With your significant other,Talk to your doctor,No,None, ,Rarely, Never, Never,Rarely, Never, Never, ,No, , , ,Never,No impact,No,No,No,No,No,No,No,Yes,No,No,No,None,No problems,Every night or almost every night,No,Nothing awakens me at night,Not very difficult, Never, Never,Refused, Never,Refused,1 to 2 nights a week,1 to 2 nights a week,Alarm clock,6,You slept too late,None,None,None,No,Causes you to have disturbed or restless sleep,Not really concerned,Mostly disagree,Mostly agree,Mostly disagree,Mostly agree,Evening person,00,00,1 to 2 times a month,No, ,No, ,66,185,29.9414600550964,Not at all,No,No,No,No,No,No,No,No,Working full-time,Regular day shifts,030,4,1,036,Rural
215,west_1,West,P,CA,9,1,Female,Married,6:00 AM – 6:14 AM,9:00 PM – 9:14 PM,8,7:00 AM – 7:14 AM,9:00 AM – 11:59 AM,8,Rarely, Never,Rarely,A few nights a week, Never,Rarely,Refused, Never,Every night or almost every night,A few nights a week, Never,Yes,No,Yes,Yes,Less than 5 minutes,With your significant other,With your significant other,Assume it will go away in time,No,None, ,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Don't Know,Yes,As loud as talking,1 to 2 nights a month?,Yes,Never,No impact,No,No,No,Yes,Yes,Yes,No,No,No,No,No,None,No problems,Every night or almost every night,No,Noise,Not very difficult, Never, Never,Rarely, Never, Never,1 to 2 nights a month?,1 to 2 nights a month?,Alarm clock,8,You needed to take care of others,None,None,None,No,Or does it have no impact on your sleep?,Very concerned,Completely disagree,Mostly agree,Mostly disagree,Mostly agree,Morning person,04,10,Never,No, ,No, ,67,Refused,99,Every day,No,No,No,No,Yes,No,No,No,Working full-time,Regular day shifts,040,3,1,045,Suburban
216,south_2,South,C,LA,7,1,Female,Separated,6:00 AM – 6:14 AM,11:00 PM – 11:14 PM,8,7:00 AM – 7:14 AM,11:30 PM – 11:44 PM,9,Never, Never,Every night or almost every night,A few nights a week, Never,Every night or almost every night,Every night or almost every night,A few nights a week,Every night or almost every night, Never,Every night or almost every night,Yes,No,Yes,No,15 up to 30 minutes,Alone,Alone,Self-treat it,No,None, ,Rarely, Never, Never,Rarely,Every night or almost every night,A few nights a week,Worse at night,Yes,Slightly louder than breathing,1 to 2 nights a week,No,Never,No impact, , , , , , , , , , , , , ,Every night or almost every night,Yes,Noise,Very difficult,Rarely, Never, Never, Never, Never,Never?,1 to 2 nights a month?,Alarm clock,8,You went to bed too late,None,None,None,No,Causes you to have disturbed or restless sleep,Very concerned,Mostly agree,Completely agree,Mostly disagree,Mostly disagree,Morning person,03,00,1 to 2 times a month,No, ,No, ,59,128,25.9235851766734,Every day,No,No,No,No,No,No,No,No,Working full-time,Regular day shifts,040,6,2,038,Suburban
217,south_2,South,E,VA,5,1,Male,Married,12:01 AM - 4:59 AM,10:00 PM – 10:14 PM,7,12:01 AM - 4:59 AM,9:30 PM – 9:44 PM,7,A few nights a week, Never,Rarely, Never,Rarely, Never, Never, Never,Rarely, Never,Rarely,No,No,Yes,No,5 up to 10 minutes,With your significant other,Don't Know,Talk to your doctor,No,More than 5 times,1 hour or more?, Never, Never, Never, Never, Never,A few nights a month, ,Yes,Don't Know,1 to 2 nights a month?,Don't Know,Never,Don't Know,No,No,No,Not sure,Not sure,Don't Know,Don't Know,Not sure,Not sure,Not sure,Not sure,None,No problems,Every night or almost every night,No,Noise,Not at all difficult, Never, Never, Never, Never, Never,Never?,Never,Wake up on own,4,Do not work, , ,None,Don’t know,Do not watch TV/these programs before bed,Not really concerned,Mostly disagree,Mostly agree,Don't Know,Don't Know,Morning person,00,00,Never,No, ,No, ,66,200,32.3691460055096,Not at all,No,No,No,No,No,No,No,No,Retired, , , ,1,068,Rural
218,ne_2,Northeast,E,PA,2,1,Female,Married,6:00 AM – 6:14 AM,11:30 PM – 11:44 PM,5.5,10:00 AM – 10:59 AM,11:30 PM – 11:44 PM,9,Never, Never,Every night or almost every night, Never,Rarely,A few nights a week,A few nights a week, Never,Rarely, Never,Every night or almost every night,Yes,No,Yes,No,10 up to 15 minutes,With your significant other,With your significant other,Use an over-the-counter sleep aid,No,2 or 3 times,1 hour or more?, Never,Rarely, Never,A few nights a week, Never, Never, ,Yes,Slightly louder than breathing,1 to 2 nights a month?,No,Never, ,No,No,No,No,No,Yes,No,No,No,No,No,None,No problems,Rarely,No,Noise,Not at all difficult,Rarely,Rarely, Never, Never, Never,1 to 2 nights a week,3 to 4 nights a week,Wake up on own,7,You are never late or tardy?,None,None,6 to 10 days,No,Or does it have no impact on your sleep?, Somewhat concerned,Mostly agree,Completely agree,Mostly agree,Mostly disagree,Morning person,02,04,Never,No, ,Yes,Less often or never?,64,170,29.26025390625,Not at all,No,No,No,Yes,No,No,No,No,Working full-time,Regular day shifts,040,3,1,029,Urban
219,ne_3,Northeast,E,MA,1,1,Female,Single,8:30 AM – 8:44 AM,11:30 PM – 11:44 PM,7,9:00 AM – 9:14 AM,12:00 AM (Midnight),7,A few nights a month,Rarely,Every night or almost every night,Rarely,A few nights a month,A few nights a month,A few nights a month,Rarely,A few nights a month, Never,Rarely,No,No,Yes,Yes,1 hour or more?,Alone,Alone,Self-treat it,No,1 time, ,A few nights a month,Rarely,A few nights a month,A few nights a month, Never,A few nights a month, ,Yes,Slightly louder than breathing,1 to 2 nights a month?,No,Never, , , , , , , , , , , , , , ,Every night or almost every night,No,The need to go to the bathroom,Somewhat difficult, Never, Never, Never, Never, Never,1 to 2 nights a week,1 to 2 nights a month?,Alarm clock,7,None of the above,None,1 to 2 days,None,Yes,Or does it have no impact on your sleep?,Not really concerned,Mostly agree,Mostly agree,Mostly disagree,Mostly agree,Evening person,00,00,Never,No, ,No, ,62,130,23.8423517169615,Not at all,No,No,No,No,Yes,No,No,No,Unemployed, , , ,1,038,Suburban
220,south_3,South,E,DE,5,1,Male,Married,5:45 AM – 5:59 AM,10:00 PM – 10:14 PM,7,8:00 AM – 8:14 AM,12:00 AM (Midnight),8,Every night or almost every night,A few nights a week,Every night or almost every night,Rarely,A few nights a week,A few nights a month,A few nights a month,Rarely,Every night or almost every night,Rarely,Rarely,Yes,No,Yes,No,5 up to 10 minutes,With your significant other,With your significant other,Assume it will go away in time,No,2 or 3 times,15 to less than 30 minutes,Rarely,A few nights a week,A few nights a week,A few nights a week,Rarely,Rarely,Worse at night,Yes,Very loud and can be heard in adjacent rooms?,Every night or almost every night,Yes,Never, ,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,None,Little problems,A few nights a week,No,Noise,Not very difficult, Never, Never, Never, Never, Never,1 to 2 nights a week,1 to 2 nights a week,Alarm clock,8,Traffic or transportation problems,None,1 to 2 days,None,No,Or does it have no impact on your sleep?,Very concerned,Completely disagree,Mostly agree,Mostly agree,Completely agree,Morning person,02,01,1 to 2 times a week,No, ,Yes,Less often or never?,71,215,30.068438801825,Not at all,No,No,No,Yes,No,No,No,No,Working full-time,Rotating shifts,044,6,1,045,Rural
221,mid_3,Mid West,C,WI,3,1,Female,Married,12:01 AM - 4:59 AM,10:00 PM – 10:14 PM,7,8:00 AM – 8:14 AM,11:00 PM – 11:14 PM,8,A few nights a week, Never, Never, Never,A few nights a month,A few nights a month,Rarely, Never,Every night or almost every night,Rarely,A few nights a month,No,No,No,Yes,15 up to 30 minutes,Alone,With your children,Talk to your doctor,No,None, ,A few nights a month,A few nights a month,A few nights a month,Rarely, Never,Rarely, ,No, , , ,Never,No impact,No,No,No,No,Yes,No,No,Yes,Yes,No,Yes,120,No problems,A few nights a week,No,Someone else,Not very difficult, Never, Never, Never, Never, Never,1 to 2 nights a month?,1 to 2 nights a month?,Alarm clock,5,You slept too late,None,None,None,Yes,Or does it have no impact on your sleep?, Somewhat concerned,Mostly agree,Mostly agree,Mostly agree,Completely agree,Morning person,02,00,Less than once a month,No, ,Yes,Less often or never?,63,123,21.8480725623583,Every day,No,No,No,No,No,No,No,No,Working full-time,Regular day shifts,040,9,5,038,Rural
222,mid_1,Mid West,C,WI,3,1,Male,Living with someone,6:00 AM – 6:14 AM,11:00 PM – 11:14 PM,7,7:00 AM – 7:14 AM,11:00 PM – 11:14 PM,8,A few nights a week,A few nights a week,A few nights a week,A few nights a month,Rarely,Every night or almost every night,A few nights a month, Never,A few nights a week, Never,Rarely,Yes,No,Yes,Yes,10 up to 15 minutes,With your significant other,With your significant other,Talk to your doctor,No,1 time, ,Rarely,A few nights a month,Rarely,A few nights a month, Never,A few nights a week, ,Yes,Very loud and can be heard in adjacent rooms?,Every night or almost every night,Yes,1 to 2 nights a month?,No impact,No,No,No,No,No,Yes,Yes,No,No,Yes,No,None,No problems,Every night or almost every night,Yes,The need to go to the bathroom,Not very difficult, Never, Never, Never, Never, Never,1 to 2 nights a month?,1 to 2 nights a month?,Wake up on own,6,Traffic or transportation problems,None,None,None,Yes,Or does it have no impact on your sleep?, Somewhat concerned,Mostly disagree,Completely agree,Mostly agree,Mostly agree,Morning person,03,00,Less than once a month,No, ,Yes,Less often or never?,68,250,38.1163494809689,Not at all,No,No,No,No,No,No,No,Yes,Working full-time,Rotating shifts,060,5,1,051,Rural
223,south_1,South,C,AL,6,1,Female,Single,Refused,11:00 PM – 11:14 PM,5,6:00 AM – 6:14 AM,11:00 PM – 11:14 PM,5,A few nights a week,Rarely,Every night or almost every night, Never,Rarely, Never,A few nights a week, Never, Never,Rarely, Never,Yes,No,Yes,Yes,1 hour or more?,Alone,Alone,Self-treat it,Yes,1 time, ,A few nights a week,Every night or almost every night,A few nights a week,A few nights a week,A few nights a month,A few nights a month,Better at night,No, , , ,Never,Don't Know, , , , , , , , , , , , , ,A few nights a week,No,Wake up for no apparent reason,Somewhat difficult, Never, Never,A few nights a week, Never, Never,1 to 2 nights a month?,1 to 2 nights a month?,Wake up on own,5,Do not work, , ,None,No,Or does it have no impact on your sleep?,Not really concerned,Completely agree,Completely agree,Completely agree,Completely agree,Morning person,02,Don't Know,Never,No, ,No, ,60,110,21.5416666666667,Not at all,No,Yes,No,No,No,No,No,Yes,Volunteer, , , ,2,049,Suburban
